,White,Black,Native_American,Asian,Pacific_Islander,Other,2_or_More,HispanicLatino,Total,NAME,county,state,API
80,120109.0,14066.0,431.0,3320.0,44.0,3404.0,5162.0,18092.0,146536,"Rock Island County, Illinois",161,17,3364.0
81,172396.0,79402.0,529.0,3622.0,68.0,2236.0,7316.0,10008.0,265569,"St. Clair County, Illinois",163,17,3690.0
82,22975.0,831.0,58.0,165.0,9.0,12.0,609.0,405.0,24659,"Saline County, Illinois",165,17,174.0
83,163815.0,25155.0,246.0,3519.0,80.0,1454.0,4370.0,4217.0,198639,"Sangamon County, Illinois",167,17,3599.0
84,6785.0,349.0,7.0,0.0,0.0,0.0,64.0,21.0,7205,"Schuyler County, Illinois",169,17,0.0
85,5078.0,0.0,20.0,7.0,0.0,7.0,57.0,60.0,5169,"Scott County, Illinois",171,17,7.0
86,21656.0,143.0,43.0,77.0,0.0,12.0,80.0,211.0,22011,"Shelby County, Illinois",173,17,77.0
87,5697.0,42.0,0.0,34.0,0.0,0.0,67.0,74.0,5840,"Stark County, Illinois",175,17,34.0
88,39890.0,4310.0,25.0,388.0,0.0,280.0,1390.0,1588.0,46283,"Stephenson County, Illinois",177,17,388.0
89,129963.0,1630.0,242.0,1258.0,40.0,491.0,1776.0,2995.0,135400,"Tazewell County, Illinois",179,17,1298.0
90,16412.0,124.0,12.0,76.0,0.0,324.0,510.0,863.0,17458,"Union County, Illinois",181,17,76.0
91,65911.0,10946.0,186.0,712.0,27.0,555.0,1276.0,3744.0,79613,"Vermilion County, Illinois",183,17,739.0
92,11192.0,117.0,12.0,145.0,0.0,23.0,98.0,200.0,11587,"Wabash County, Illinois",185,17,145.0
93,15836.0,493.0,5.0,382.0,0.0,591.0,304.0,1595.0,17611,"Warren County, Illinois",187,17,382.0
94,13896.0,115.0,13.0,72.0,3.0,126.0,144.0,208.0,14369,"Washington County, Illinois",189,17,75.0
95,16070.0,110.0,27.0,128.0,0.0,1.0,181.0,126.0,16517,"Wayne County, Illinois",191,17,128.0
96,14133.0,47.0,15.0,41.0,14.0,2.0,158.0,188.0,14410,"White County, Illinois",193,17,55.0
97,52983.0,1135.0,111.0,308.0,17.0,1400.0,1201.0,6669.0,57155,"Whiteside County, Illinois",195,17,325.0
98,508499.0,76513.0,1466.0,35170.0,149.0,45613.0,17968.0,113180.0,685378,"Will County, Illinois",197,17,35319.0
99,62148.0,2916.0,133.0,665.0,24.0,155.0,1295.0,1632.0,67336,"Williamson County, Illinois",199,17,689.0
100,227040.0,36120.0,648.0,7292.0,64.0,8759.0,8973.0,34439.0,288896,"Winnebago County, Illinois",201,17,7356.0
101,37882.0,215.0,14.0,306.0,0.0,156.0,550.0,667.0,39123,"Woodford County, Illinois",203,17,306.0
