,Male_16_white,Male_64_white,Female_16_white,Female_64_white,NAME,county,state,LF_White,Male_16_black,Male_64_black,Female_16_black,Female_64_black,LF_Black,Male_16_NA,Male_64_NA,Female_16_NA,Female_64_NA,LF_NA,Male_16_A,Male_64_A,Female_16_A,Female_64_A,Male_16_PI,Male_64_PI,Female_16_PI,Female_64_PI,LF_API,Male_16_other,Male_64_other,Female_16_other,Female_64_other,LF_Other,Male_16_2,Male_64_2,Female_16_2,Female_64_2,LF_2,Male_16_hispanic,Male_64_hispanic,Female_16_hispanic,Female_64_hispanic,LF_Hispanic,LF_Total,White,Black,Native_American,Asian,Pacific_Islander,Other,2_or_More,HispanicLatino,Total,API
29,1171.0,106.0,968.0,66.0,"Gallatin County, Illinois",059,17,2311.0,0.0,0.0,3.0,0.0,3.0,11.0,0.0,3.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,3.0,0.0,0.0,7.0,0.0,0.0,11.0,0.0,11.0,2336.0,5131.0,17.0,23.0,17.0,0.0,5.0,132.0,35.0,5325,17.0
30,3144.0,203.0,2777.0,193.0,"Greene County, Illinois",061,17,6317.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,11.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,16.0,24.0,22.0,0.0,11.0,0.0,33.0,3.0,0.0,12.0,16.0,31.0,6390.0,13038.0,147.0,25.0,6.0,0.0,75.0,99.0,149.0,13390,6.0
31,12872.0,544.0,11004.0,404.0,"Grundy County, Illinois",063,17,24824.0,79.0,0.0,202.0,0.0,281.0,10.0,0.0,0.0,0.0,10.0,89.0,0.0,156.0,5.0,0.0,0.0,0.0,0.0,250.0,323.0,0.0,350.0,0.0,673.0,118.0,0.0,88.0,0.0,206.0,1214.0,14.0,963.0,15.0,2206.0,26244.0,47309.0,808.0,42.0,359.0,0.0,1148.0,672.0,4584.0,50338,359.0
32,1955.0,110.0,1611.0,51.0,"Hamilton County, Illinois",065,17,3727.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3740.0,8192.0,41.0,8.0,10.0,0.0,0.0,0.0,22.0,8251,10.0
33,4482.0,469.0,3744.0,262.0,"Hancock County, Illinois",067,17,8957.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,3.0,16.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,21.0,6.0,0.0,0.0,0.0,6.0,75.0,0.0,25.0,0.0,100.0,49.0,0.0,29.0,0.0,78.0,9091.0,18195.0,91.0,43.0,68.0,3.0,6.0,227.0,253.0,18633,71.0
34,834.0,56.0,820.0,29.0,"Hardin County, Illinois",069,17,1739.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,19.0,13.0,0.0,4.0,0.0,17.0,1777.0,3904.0,115.0,15.0,31.0,0.0,15.0,93.0,71.0,4173,31.0
35,1693.0,124.0,1584.0,85.0,"Henderson County, Illinois",071,17,3486.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,50.0,4.0,0.0,0.0,0.0,4.0,3.0,0.0,17.0,0.0,20.0,20.0,0.0,13.0,0.0,33.0,3564.0,6796.0,7.0,22.0,56.0,0.0,11.0,74.0,101.0,6966,56.0
36,11916.0,740.0,10194.0,533.0,"Henry County, Illinois",073,17,23383.0,108.0,3.0,112.0,19.0,242.0,0.0,0.0,12.0,0.0,12.0,67.0,0.0,27.0,0.0,13.0,0.0,0.0,0.0,107.0,345.0,0.0,184.0,0.0,529.0,111.0,0.0,94.0,0.0,205.0,745.0,10.0,451.0,0.0,1206.0,24478.0,46507.0,908.0,37.0,275.0,13.0,1191.0,750.0,2706.0,49681,288.0
37,6630.0,533.0,5908.0,520.0,"Iroquois County, Illinois",075,17,13591.0,27.0,0.0,82.0,0.0,109.0,4.0,0.0,0.0,0.0,4.0,47.0,0.0,22.0,2.0,0.0,0.0,0.0,0.0,71.0,270.0,3.0,193.0,0.0,466.0,41.0,0.0,16.0,16.0,73.0,516.0,0.0,379.0,0.0,895.0,14314.0,27048.0,359.0,12.0,141.0,0.0,954.0,300.0,1827.0,28814,141.0
38,11127.0,538.0,10391.0,461.0,"Jackson County, Illinois",077,17,22517.0,1589.0,17.0,2313.0,68.0,3987.0,43.0,0.0,36.0,0.0,79.0,650.0,0.0,439.0,0.0,12.0,0.0,0.0,0.0,1101.0,235.0,0.0,137.0,0.0,372.0,259.0,12.0,273.0,14.0,558.0,654.0,0.0,542.0,31.0,1227.0,28614.0,45785.0,8510.0,221.0,2107.0,12.0,685.0,1868.0,2460.0,59188,2119.0
39,2392.0,156.0,2156.0,144.0,"Jasper County, Illinois",079,17,4848.0,12.0,0.0,16.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,33.0,0.0,33.0,4886.0,9461.0,64.0,13.0,18.0,0.0,0.0,36.0,123.0,9592,18.0
40,8054.0,450.0,7308.0,473.0,"Jefferson County, Illinois",081,17,16285.0,431.0,2.0,638.0,26.0,1097.0,4.0,1.0,14.0,0.0,19.0,94.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,180.0,40.0,0.0,17.0,0.0,57.0,99.0,0.0,90.0,0.0,189.0,152.0,2.0,109.0,0.0,263.0,17827.0,33797.0,3200.0,46.0,443.0,0.0,126.0,911.0,898.0,38523,443.0
41,5188.0,291.0,5084.0,192.0,"Jersey County, Illinois",083,17,10755.0,22.0,0.0,11.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,33.0,18.0,22.0,18.0,0.0,0.0,0.0,0.0,91.0,2.0,0.0,26.0,0.0,28.0,115.0,0.0,31.0,0.0,146.0,14.0,0.0,117.0,0.0,131.0,11053.0,21806.0,64.0,36.0,129.0,21.0,28.0,357.0,285.0,22441,150.0
